audio_file,folder,filename,lyrics,lyrics_file,word_count
/content/drive/MyDrive/cse425 datasets/FMA_Dataset/fma_small/050/050272.mp3,050,050272.mp3,"Come and catch my soul, boy you're lying, I'm trying never let you go Come and catch my soul, I'm his off-the-predictions, what I'm standing for What I'm standing for",/content/drive/MyDrive/cse425 datasets/extracted_lyrics/050_050272.txt,30
/content/drive/MyDrive/cse425 datasets/FMA_Dataset/fma_small/050/050276.mp3,050,050276.mp3,"your rules and repairing for the day. When all the wells run dry, you see a own, the very ring that falls down from the sky, but it's the commons, far right of birth. And you, who'd own the water, all around the earth, high future is your downfall, and cut this ball and shame. You who'd sacrifice the public good for your private game. You claimed, on the harvest, with your terminator seeds. You're claimed, on the genomes.",/content/drive/MyDrive/cse425 datasets/extracted_lyrics/050_050276.txt,79
/content/drive/MyDrive/cse425 datasets/FMA_Dataset/fma_small/050/050283.mp3,050,050283.mp3,"Let's grab the vibes in the rain and ragassant Positine, Positine, Positine, Positine, Positine In the opposite direction or the day and night I woke up early from you and you and act hard And still...",/content/drive/MyDrive/cse425 datasets/extracted_lyrics/050_050283.txt,36
/content/drive/MyDrive/cse425 datasets/FMA_Dataset/fma_small/050/050444.mp3,050,050444.mp3,것앞음낍laimer is my way whatever i get но quanto mi my,/content/drive/MyDrive/cse425 datasets/extracted_lyrics/050_050444.txt,11
/content/drive/MyDrive/cse425 datasets/FMA_Dataset/fma_small/050/050445.mp3,050,050445.mp3,Those indần mixed with the exactly same,/content/drive/MyDrive/cse425 datasets/extracted_lyrics/050_050445.txt,7
/content/drive/MyDrive/cse425 datasets/FMA_Dataset/fma_small/050/050446.mp3,050,050446.mp3,"title Hi what's up? I love you, you know I love you, oh wait",/content/drive/MyDrive/cse425 datasets/extracted_lyrics/050_050446.txt,14
/content/drive/MyDrive/cse425 datasets/FMA_Dataset/fma_small/050/050447.mp3,050,050447.mp3,Start the complex using the omg,/content/drive/MyDrive/cse425 datasets/extracted_lyrics/050_050447.txt,6
/content/drive/MyDrive/cse425 datasets/FMA_Dataset/fma_small/050/050448.mp3,050,050448.mp3,Russell we were running around and went into the other end,/content/drive/MyDrive/cse425 datasets/extracted_lyrics/050_050448.txt,11
/content/drive/MyDrive/cse425 datasets/FMA_Dataset/fma_small/050/050449.mp3,050,050449.mp3,"And keep up with all the current Olympia music, which is kind of really what is going on in music right now in the world. Awesome. Cool. You want to introduce everybody? Say hello. My name is Joel. My name is Dave. And he's he's thrashing out in the corner. Talking about church. Yeah, there we go. Don't talk about church. See you.",/content/drive/MyDrive/cse425 datasets/extracted_lyrics/050_050449.txt,63
/content/drive/MyDrive/cse425 datasets/FMA_Dataset/fma_small/050/050539.mp3,050,050539.mp3,Music Music Music Music Music Music Music Music Music Music Music,/content/drive/MyDrive/cse425 datasets/extracted_lyrics/050_050539.txt,11
